reference_path,query_path,label,pair_type,writer_id_ref,writer_id_query
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_17_7.png,0,skilled_forgery,17,17
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_3.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_24_16.png,0,skilled_forgery,24,24
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_24.png,1,genuine_genuine,53,53
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_15.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_39_12.png,0,skilled_forgery,39,39
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_34_6.png,0,random_forgery,3,34
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_12.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_30_6.png,0,skilled_forgery,30,30
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_23.png,1,genuine_genuine,5,5
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_24.png,1,genuine_genuine,25,25
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_1.png,0,random_forgery,18,7
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_9.png,1,genuine_genuine,22,22
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_6.png,0,random_forgery,11,21
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_5_21.png,0,skilled_forgery,5,5
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_23.png,1,genuine_genuine,26,26
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_55_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_12.png,0,random_forgery,55,29
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_5.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_7.png,0,random_forgery,49,30
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_4.png,1,genuine_genuine,30,30
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_37_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_37_13.png,0,skilled_forgery,37,37
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_21.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_18.png,0,random_forgery,16,21
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_51_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_9.png,0,random_forgery,51,31
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_47_15.png,0,skilled_forgery,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_3_1.png,0,skilled_forgery,3,3
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_3_20.png,0,skilled_forgery,3,3
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_22.png,1,genuine_genuine,11,11
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_36_6.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_36_20.png,0,skilled_forgery,36,36
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_25_17.png,0,skilled_forgery,25,25
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_47_20.png,0,skilled_forgery,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_8.png,1,genuine_genuine,16,16
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_20.png,0,random_forgery,31,39
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_31_22.png,0,skilled_forgery,31,31
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_14.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_7.png,1,genuine_genuine,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_18.png,1,genuine_genuine,30,30
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_15.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_29_23.png,0,skilled_forgery,29,29
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_22.png,0,random_forgery,11,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_16.png,1,genuine_genuine,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_1_14.png,0,skilled_forgery,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_2.png,1,genuine_genuine,5,5
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_5.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_40_9.png,0,random_forgery,43,40
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_51_5.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_51_19.png,0,skilled_forgery,51,51
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_18_14.png,0,skilled_forgery,18,18
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_1_22.png,0,skilled_forgery,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_9.png,1,genuine_genuine,24,24
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_13.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_6.png,1,genuine_genuine,7,7
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_38_21.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_20.png,0,random_forgery,38,11
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_28_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_28_21.png,1,genuine_genuine,28,28
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_5.png,1,genuine_genuine,49,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_4.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_8.png,0,random_forgery,18,39
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_10_3.png,0,skilled_forgery,10,10
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_22.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_3_12.png,0,skilled_forgery,3,3
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_8.png,1,genuine_genuine,29,29
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_13.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_8.png,1,genuine_genuine,49,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_36_19.png,0,random_forgery,3,36
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_21.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_26_20.png,0,skilled_forgery,26,26
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_12_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_37_6.png,0,random_forgery,12,37
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_21.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_43_19.png,0,skilled_forgery,43,43
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_6.png,0,random_forgery,43,11
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_12_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_12_1.png,0,skilled_forgery,12,12
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_12.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_9.png,1,genuine_genuine,7,7
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_22.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_6.png,1,genuine_genuine,24,24
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_3.png,1,genuine_genuine,17,17
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_36_14.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_36_16.png,1,genuine_genuine,36,36
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_51_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_51_24.png,0,skilled_forgery,51,51
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_6.png,1,genuine_genuine,39,39
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_55_14.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_19.png,0,random_forgery,55,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_23.png,1,genuine_genuine,29,29
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_47_5.png,0,skilled_forgery,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_2.png,1,genuine_genuine,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_51_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_51_24.png,0,skilled_forgery,51,51
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_14.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_8.png,1,genuine_genuine,53,53
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_46_3.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_34_10.png,0,random_forgery,46,34
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_7.png,1,genuine_genuine,43,43
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_8.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_18_15.png,0,skilled_forgery,18,18
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_45_23.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_45_13.png,0,skilled_forgery,45,45
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_4_16.png,0,skilled_forgery,4,4
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_5.png,1,genuine_genuine,3,3
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_3.png,1,genuine_genuine,31,31
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_55_22.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_55_20.png,0,skilled_forgery,55,55
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_9.png,0,skilled_forgery,11,11
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_21.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_43_22.png,0,skilled_forgery,43,43
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_8.png,1,genuine_genuine,53,53
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_40_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_40_20.png,1,genuine_genuine,40,40
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_3.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_29_11.png,0,random_forgery,4,29
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_13.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_15.png,0,skilled_forgery,21,21
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_28_23.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_28_3.png,0,skilled_forgery,28,28
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_20.png,0,random_forgery,10,3
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_23.png,1,genuine_genuine,4,4
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_38_13.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_38_24.png,1,genuine_genuine,38,38
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_4.png,1,genuine_genuine,24,24
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_19_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_19_20.png,0,skilled_forgery,19,19
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_7.png,1,genuine_genuine,7,7
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_20.png,1,genuine_genuine,4,4
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_49_20.png,0,skilled_forgery,49,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_12.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_47_4.png,0,skilled_forgery,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_8.png,1,genuine_genuine,11,11
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_4.png,1,genuine_genuine,3,3
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_4.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_1_11.png,0,skilled_forgery,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_12.png,1,genuine_genuine,10,10
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_10.png,1,genuine_genuine,21,21
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_15.png,1,genuine_genuine,17,17
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_9.png,0,random_forgery,31,18
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_10_6.png,0,skilled_forgery,10,10
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_5.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_49_5.png,0,skilled_forgery,49,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_10_8.png,0,skilled_forgery,10,10
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_40_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_40_21.png,0,skilled_forgery,40,40
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_15.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_6.png,1,genuine_genuine,26,26
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_5.png,1,genuine_genuine,16,16
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_3.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_43_8.png,0,skilled_forgery,43,43
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_5.png,1,genuine_genuine,53,53
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_19_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_37_16.png,0,random_forgery,19,37
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_20.png,1,genuine_genuine,11,11
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_2.png,0,skilled_forgery,16,16
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_22.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_5.png,1,genuine_genuine,31,31
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_28_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_28_12.png,1,genuine_genuine,28,28
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_15.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_2.png,0,random_forgery,11,16
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_1_17.png,0,skilled_forgery,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_30_21.png,0,skilled_forgery,30,30
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_13.png,1,genuine_genuine,4,4
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_1_4.png,1,genuine_genuine,1,1
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_14.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_6.png,1,genuine_genuine,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_2.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_19.png,0,random_forgery,31,10
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_38_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_38_8.png,1,genuine_genuine,38,38
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_21.png,1,genuine_genuine,53,53
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_49_15.png,0,skilled_forgery,49,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_6.png,0,random_forgery,10,17
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_19.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_2.png,1,genuine_genuine,7,7
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_16.png,1,genuine_genuine,21,21
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_47_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_47_5.png,0,skilled_forgery,47,47
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_13.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_34_12.png,0,random_forgery,31,34
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_23.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_13.png,0,random_forgery,25,16
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_6.png,1,genuine_genuine,39,39
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_13.png,1,genuine_genuine,43,43
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_37_8.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_37_4.png,0,skilled_forgery,37,37
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_17_4.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_17_9.png,0,skilled_forgery,17,17
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_24_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_7_24.png,0,random_forgery,24,7
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_5_11.png,0,skilled_forgery,5,5
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_3_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_12.png,0,random_forgery,3,18
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_37_15.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_9.png,0,random_forgery,37,21
